Number,Date,Price,Amount,15DayAverage,31DayAverage,Trend,predictionValues
41,28/10/2015,16.661,1367,17.38113333333333,17.706258064516128,19.36113446862465,0
42,29/10/2015,17.404,1143,17.329666666666665,17.504709677419356,19.165421021762185,0
43,30/10/2015,17.506,1447,17.29553333333333,17.322741935483872,18.999478919585965,0
44,31/10/2015,17.502,1472,17.221666666666668,17.157806451612903,18.849731027627367,0
45,01/11/2015,16.527,1525,17.092066666666668,16.966032258064516,18.61745792486463,0
46,02/11/2015,16.898,1328,16.96406666666667,16.77335483870968,18.44551213237817,0
47,03/11/2015,17.041,1177,16.826533333333334,16.59958064516129,18.305060919140352,0
48,04/11/2015,17.347,1088,16.68,16.461451612903225,18.209254827226317,0
49,05/11/2015,16.955,1085,16.539466666666666,16.328225806451616,18.083829344503684,0
50,06/11/2015,16.958,1258,16.380666666666666,16.244096774193547,17.971246410053315,0
51,07/11/2015,17.05,1377,16.220933333333335,16.177645161290325,17.879121769047984,0
52,08/11/2015,16.329,1240,16.051199999999998,16.086032258064517,17.724109592143186,0
53,09/11/2015,15.848,1125,15.9264,15.963451612903228,17.53649863292887,0
54,10/11/2015,15.221,1024,15.791133333333335,15.848548387096777,17.30494876963598,0
55,11/11/2015,14.953,1069,15.610800000000001,15.718032258064516,17.069753892672384,0
56,12/11/2015,14.553,1045,15.397799999999998,15.588032258064517,16.818078503405147,0
57,13/11/2015,15.022,1257,15.233533333333332,15.480483870967744,16.638470653064633,0
58,14/11/2015,15.11,1474,15.110933333333332,15.329870967741936,16.48562358775817,0
59,15/11/2015,14.956,1292,15.001600000000002,15.161935483870971,16.332661228982353,0
60,16/11/2015,14.655,1126,14.934200000000002,15.003258064516128,16.164895106084117,0
61,17/11/2015,14.869,985,14.842533333333336,14.902322580645164,16.035305595475705,0
62,18/11/2015,14.336,1039,14.774866666666668,14.80493548387097,15.865375035928135,0
63,19/11/2015,14.152,1057,14.660533333333332,14.721225806451619,15.694037532335322,0
64,20/11/2015,14.491,1309,14.565066666666667,14.631064516129037,15.57373377910179,0
65,21/11/2015,15.119,1457,14.452066666666665,14.55854838709678,15.528260401191613,0
66,22/11/2015,15.41,983,14.293733333333332,14.480322580645167,15.516434361072452,0
67,23/11/2015,15.318,896,14.116666666666667,14.400032258064517,15.496590924965208,0
68,24/11/2015,14.473,1169,13.978533333333333,14.292677419354838,15.394231832468687,0
69,25/11/2015,14.206,1274,13.880466666666667,14.200580645161288,15.27540864922182,0
70,26/11/2015,13.238,1363,13.849999999999996,14.140516129032255,15.071667784299638,0
71,27/11/2015,13.121,1833,13.869599999999998,14.097451612903223,14.876601005869674,0
72,28/11/2015,13.327,1905,13.873666666666667,14.060064516129028,14.721640905282708,0
73,29/11/2015,12.735,1773,13.8462,13.998161290322582,14.522976814754438,0
74,30/11/2015,12.3,1549,13.787733333333334,13.934935483870966,14.300679133278996,0
75,01/12/2015,12.583,1456,13.737266666666665,13.876516129032257,14.128911219951096,0
76,02/12/2015,13.398,1266,13.639133333333332,13.815967741935486,14.055820097955987,0
77,03/12/2015,13.879,1290,13.558266666666666,13.743645161290322,14.03813808816039,0
78,04/12/2015,14.446,1522,13.566333333333334,13.683774193548388,14.07892427934435,0
79,05/12/2015,14.552,1688,13.599466666666668,13.615161290322582,14.126231851409914,0
80,06/12/2015,14.707,1643,13.603933333333336,13.526129032258066,14.184308666268924,0
81,07/12/2015,14.533,1395,13.628466666666666,13.412870967741938,14.219177799642033,0
82,08/12/2015,14.561,1213,13.685133333333335,13.245032258064514,14.253360019677832,0
83,09/12/2015,13.001,2025,13.722600000000002,13.093322580645163,14.12812401771005,0
